ID,Chinese,Trad.,Pinyin,Definition
1,介绍,介紹,jiè shào,to introduce (sb to sb)
2,好听,好聽,hǎo tīng,pleasant to hear
3,男,男,nán,male
4,女,女,nǚ,female
5,最近,最近,zuì jìn,recently
6,给,給,gěi,"to give / to, for, towards"
7,和,和,hé,"and, with"
8,咖啡馆,咖啡館,kā fēi guǎn,"café, coffee shop"
9,商店,商店,shāng diàn,"store, department store"
10,买东西,買東西,mǎi dōng xi,to go shopping
11,晚上,晚上,wǎn shang,evening
12,跟,跟,gēn,"with, together with"
13,饭馆,飯館,fàn guǎn,restaurant
14,晚饭,晚飯,wǎn fàn,evening meal
15,时间,時間,shí jiān,time
16,明天,明天,míng tiān,tomorrow
17,放松,放鬆,fàng sōng,"to loosen, relax"
18,上午,上午,shàng wǔ,morning
19,下午,下午,xià wǔ,afternoon
20,非常,非常,fēi cháng,"very, extremely"
21,后天,後天,hòu tiān,the day after tomorrow
22,行,行,xíng,"to be okay, permissible, feasible"
23,当然,當然,dāng rán,"of course, certainly"
24,图书馆,圖書館,tú shū guǎn,library
25,书店,書店,shū diàn,bookstore
26,早饭,早飯,zǎo fàn,breakfast
27,午饭,午飯,wǔ fàn,lunch
28,昨天,昨天,zuó tiān,yesterday
29,前天,前天,qián tiān,the day before yesterday
30,以前,以前,yǐ qián,before
31,中午,中午,zhōng wǔ,noon
32,噢,噢,ō,Oh! (used when someone realizes something)
33,怎么,怎麼,zěn me,What! What?
34,对了,對了,duì le,"Oh, right! By the way..."
